"Rotation","ABMI Site","Year","Field Date","Field Crew Member(s)","Nearest Town","Public Latitude","Public Longitude","Collection Methodology","Point Count Station","Subpoint","Elevation (metres)","Slope (degrees)","Aspect (degrees)"
Rotation 2,991,2015,09-Jul-15,CZA,DNC,53.823879,-111.167091,2,9,P,       621,0,VNA,
Rotation 2,991,2015,09-Jul-15,CZA,DNC,53.823879,-111.167091,2,9,S,       621,0,VNA,
Rotation 2,1022,2015,29-May-15,RHO2,DNC,53.67614,-111.788589,1,1,P,       608,2,152,
Rotation 2,1022,2015,29-May-15,RHO2,DNC,53.67614,-111.788589,1,1,S,       608,2,152,
Rotation 2,1022,2015,29-May-15,RHO2,DNC,53.67614,-111.788589,1,2,P,       608,15,142,
Rotation 2,1022,2015,29-May-15,RHO2,DNC,53.67614,-111.788589,1,2,S,       608,15,142,
Rotation 2,1022,2015,29-May-15,RHO2,DNC,53.67614,-111.788589,1,3,P,       608,0,VNA,
Rotation 2,1022,2015,29-May-15,RHO2,DNC,53.67614,-111.788589,1,3,S,       608,0,VNA,
Rotation 2,1022,2015,29-May-15,RHO2,DNC,53.67614,-111.788589,1,4,P,       608,0,VNA,
Rotation 2,1022,2015,29-May-15,RHO2,DNC,53.67614,-111.788589,1,4,S,       608,0,VNA,
Rotation 2,1022,2015,29-May-15,RHO2,DNC,53.67614,-111.788589,1,5,P,       608,2,270,
Rotation 2,1022,2015,29-May-15,RHO2,DNC,53.67614,-111.788589,1,5,S,       608,2,270,
Rotation 2,1022,2015,29-May-15,RHO2,DNC,53.67614,-111.788589,1,6,P,       608,8,90,
Rotation 2,1022,2015,29-May-15,RHO2,DNC,53.67614,-111.788589,1,6,S,       608,8,90,
Rotation 2,1022,2015,29-May-15,RHO2,DNC,53.67614,-111.788589,1,7,P,       608,5,116,
Rotation 2,1022,2015,29-May-15,RHO2,DNC,53.67614,-111.788589,1,7,S,       608,5,116,
Rotation 2,1022,2015,29-May-15,RHO2,DNC,53.67614,-111.788589,1,8,P,       608,0,VNA,
